year,round,market,subject,line,prob,actual
2025,1,player_disposals,Patrick Dangerfield,15.0,0.8654761904761905,0
2025,1,player_disposals,Patrick Dangerfield,20.0,0.5397489539748956,0
2025,1,player_disposals,Patrick Dangerfield,25.0,0.2622432859399684,0
2025,1,player_goals,Patrick Dangerfield,1.0,0.4473567303420702,1
2025,1,player_goals,Patrick Dangerfield,2.0,0.1180795847750864,1
2025,1,player_marks,Patrick Dangerfield,4.0,0.5357757560855667,0
2025,1,player_marks,Patrick Dangerfield,6.0,0.1637426900584795,0
2025,1,player_tackles,Patrick Dangerfield,3.0,0.7751798561151079,1
2025,1,player_tackles,Patrick Dangerfield,5.0,0.1737068965517241,0
2025,1,player_disposals,Jack Bowes,15.0,0.7440068493150686,0
2025,1,player_disposals,Jack Bowes,20.0,0.3836553945249599,0
2025,1,player_disposals,Jack Bowes,25.0,0.150253807106599,0
2025,1,player_goals,Jack Bowes,1.0,0.3527575442247658,1
2025,1,player_goals,Jack Bowes,2.0,0.0917225950782997,0
2025,1,player_marks,Jack Bowes,4.0,0.5357757560855667,0
2025,1,player_marks,Jack Bowes,6.0,0.1581027667984189,0
2025,1,player_tackles,Jack Bowes,3.0,0.8823529411764706,1
2025,1,player_tackles,Jack Bowes,5.0,0.3627741553052756,1
2025,1,player_disposals,Zach Guthrie,15.0,0.6948798328108673,1
2025,1,player_disposals,Zach Guthrie,20.0,0.3187710033605377,1
2025,1,player_disposals,Zach Guthrie,25.0,0.1047355686138956,0
2025,1,player_goals,Zach Guthrie,1.0,0.1499522445081184,0
2025,1,player_marks,Zach Guthrie,4.0,0.9012658227848102,1
2025,1,player_marks,Zach Guthrie,6.0,0.5861204013377925,1
2025,1,player_tackles,Zach Guthrie,3.0,0.3627906976744186,0
2025,1,player_disposals,Oliver Dempsey,15.0,0.6296791443850265,1
2025,1,player_disposals,Oliver Dempsey,20.0,0.2836943441636582,0
2025,1,player_disposals,Oliver Dempsey,25.0,0.0960735171261487,0
2025,1,player_goals,Oliver Dempsey,1.0,0.5570400822199383,1
2025,1,player_goals,Oliver Dempsey,2.0,0.1922723091076356,1
2025,1,player_marks,Oliver Dempsey,4.0,0.6888888888888889,1
2025,1,player_marks,Oliver Dempsey,6.0,0.2640664961636828,0
2025,1,player_tackles,Oliver Dempsey,3.0,0.3282747603833866,1
2025,1,player_disposals,Tom Atkins,15.0,0.6043587594300083,0
2025,1,player_disposals,Tom Atkins,20.0,0.2391304347826087,0
2025,1,player_disposals,Tom Atkins,25.0,0.0798502807236431,0
2025,1,player_goals,Tom Atkins,1.0,0.1177446102819237,1
2025,1,player_marks,Tom Atkins,4.0,0.2038369304556354,0
2025,1,player_tackles,Tom Atkins,5.0,0.6247582205029011,1
2025,1,player_disposals,Caleb Serong,15.0,0.9694132334581772,1
2025,1,player_disposals,Caleb Serong,20.0,0.8620689655172413,1
2025,1,player_disposals,Caleb Serong,25.0,0.6139534883720931,1
2025,1,player_goals,Caleb Serong,1.0,0.4670704012112036,0
2025,1,player_goals,Caleb Serong,2.0,0.1499522445081184,0
2025,1,player_marks,Caleb Serong,4.0,0.2763990267639905,0
2025,1,player_tackles,Caleb Serong,5.0,0.519642857142857,0
2025,1,player_disposals,Andrew Brayshaw,20.0,0.9215938303341902,1
2025,1,player_disposals,Andrew Brayshaw,25.0,0.7440068493150686,1
2025,1,player_goals,Andrew Brayshaw,1.0,0.2360801781737193,1
2025,1,player_marks,Andrew Brayshaw,4.0,0.7389975550122252,0
2025,1,player_marks,Andrew Brayshaw,6.0,0.3250773993808049,0
2025,1,player_tackles,Andrew Brayshaw,5.0,0.519642857142857,1
2025,1,player_disposals,Jordan Clark,15.0,0.8654761904761905,1
2025,1,player_disposals,Jordan Clark,20.0,0.6043587594300083,1
2025,1,player_disposals,Jordan Clark,25.0,0.2836943441636582,0
2025,1,player_goals,Jordan Clark,1.0,0.1922723091076356,0
2025,1,player_marks,Jordan Clark,4.0,0.8704663212435233,1
2025,1,player_marks,Jordan Clark,6.0,0.4758620689655172,0
2025,1,player_tackles,Jordan Clark,3.0,0.6719524281466799,0
2025,1,player_tackles,Jordan Clark,5.0,0.1238410596026489,0
2025,1,player_disposals,Luke Ryan,15.0,0.9305555555555556,1
2025,1,player_disposals,Luke Ryan,20.0,0.7440068493150686,0
2025,1,player_disposals,Luke Ryan,25.0,0.4525627044711014,0
2025,1,player_goals,Luke Ryan,1.0,0.1018766756032171,0
2025,1,player_marks,Luke Ryan,6.0,0.7829670329670331,0
2025,1,player_tackles,Luke Ryan,3.0,0.4124775583482944,0
2025,1,player_tackles,Luke Ryan,5.0,0.056436271401395,0
